"","lea_code","lea_name","school_code","school_name","assessment","assessmenttype","cohort","subject","grade","year","subgroup","percent_level_1","percent_level_2","percent_level_3","percent_level_4","percent_level_5","percent_proficient","percent_proficient_3+"
"1","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.42,0.72
"2","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.17,0.48
"3","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.2,0.47
"4","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.3,0.6
"5","0108","Capital City PCS","All","All","All","All","Tested","Reading","3rd Grade - 8th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.24,0.53
"6","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","White",NA,NA,NA,NA,NA,0.66,0.82
"7","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","All",NA,NA,NA,NA,NA,0.26,0.54
"8","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.23,0.49
"9","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Limited English Proficient",NA,NA,NA,NA,NA,0.08,0.27
"10","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.3,0.61
"11","0108","Capital City PCS","All","All","All","All","Tested","Reading","9th Grade - 12th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.32,0.58
"12","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Male",NA,NA,NA,NA,NA,0.17,0.47
"13","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Female",NA,NA,NA,NA,NA,0.33,0.6
"14","0108","Capital City PCS","All","All","All","All","Tested","Reading","All","2014-2015","Special Education",NA,NA,NA,NA,NA,0.03,0.2
"15","0108","Capital City PCS","All","All","All","All","Tested","Reading","English II","2014-2015","Male",NA,NA,NA,NA,NA,0.27,0.43
"16","0108","Capital City PCS","All","All","All","All","Tested","Reading","English II","2014-2015","Female",NA,NA,NA,NA,NA,0.36,0.68
"17","0108","Capital City PCS","All","All","All","All","Tested","Reading","English II","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.28,0.57
"18","0108","Capital City PCS","All","All","All","All","Tested","Reading","English II","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.35,0.58
"19","0108","Capital City PCS","All","All","All","All","Tested","Reading","English II","2014-2015","All",NA,NA,NA,NA,NA,0.32,0.58
"20","0108","Capital City PCS","All","All","All","All","Tested","Reading","English II","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.37,0.66
"21","0108","Capital City PCS","All","All","All","All","Tested","Reading","English II","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.37,0.66
"22","0108","Capital City PCS","All","All","All","All","Tested","Reading","English II","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.35,0.6
"23","0108","Capital City PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","All",NA,NA,NA,NA,NA,0.18,0.4
"24","0108","Capital City PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.29,0.52
"25","0108","Capital City PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.19,0.41
"26","0108","Capital City PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.06,0.19
"27","0108","Capital City PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.2,0.42
"28","0108","Capital City PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.28,0.6
"29","0108","Capital City PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.06,0.39
"30","0108","Capital City PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.25,0.54
"31","0108","Capital City PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.23,0.52
"32","0108","Capital City PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.27,0.56
"33","0108","Capital City PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.23,0.52
"34","0108","Capital City PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.23,0.48
"35","0108","Capital City PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.15,0.41
"36","0108","Capital City PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.29,0.54
"37","0108","Capital City PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.27,0.53
"38","0108","Capital City PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.2,0.4
"39","0108","Capital City PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.21,0.46
"40","0108","Capital City PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.16,0.47
"41","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.16,0.56
"42","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.26,0.62
"43","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.33,0.73
"44","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.3,0.7
"45","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.44,0.74
"46","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Hispanic",NA,NA,NA,NA,NA,0.09,0.59
"47","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.09,0.48
"48","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.32,0.62
"49","0108","Capital City PCS","All","All","All","All","Tested","Reading","6th Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.45,0.79
"50","0108","Capital City PCS","All","All","All","All","Tested","Reading","7th Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.16,0.57
"51","0108","Capital City PCS","All","All","All","All","Tested","Reading","7th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.28,0.64
"52","0108","Capital City PCS","All","All","All","All","Tested","Reading","7th Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.17,0.52
"53","0108","Capital City PCS","All","All","All","All","Tested","Reading","7th Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.13,0.44
"54","0108","Capital City PCS","All","All","All","All","Tested","Reading","7th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.23,0.57
